labels,FeatDv3Cls
wafer_011,"tensor([-9.405347,-7.529266,3.074151,2.104953,-3.308947,-4.871273,-11.601086,2.686467,-8.311433,-8.584590,-3.842967,-0.040569,-10.178266,1.672316,2.593143,-9.770206,0.195672,-7.063570,-10.672636,1.777443,-1.288065,-2.706176,4.971102,-2.366425,6.289657,11.516618,2.962761,-6.418326,-4.387495,10.236045,3.852464,-5.554247,-2.034042,-1.826401,-6.031492,6.041107,-1.497051,-4.755251,-4.546166,-9.846161,-2.852236,0.136958,-2.670762,-8.018032,-3.486841,2.861066,9.802810,5.150847])"
wafer_012,"tensor([-6.149175,0.011896,0.893578,6.525944,2.097233,2.843236,2.505903,9.198476,-8.751191,-4.963193,-4.636669,5.676536,-14.820606,-7.222881,2.235063,3.958578,-1.003206,2.668394,-1.744251,5.454098,-1.571052,5.651798,-0.445598,-1.790812,6.392695,-4.680364,-1.462186,8.476138,-6.593398,5.208477,1.440610,-3.220201,-7.680997,-9.868437,-9.248174,2.952672,5.383862,-5.626001,-13.708537,1.772774,6.207198,-0.732815,-3.379776,-6.802078,2.441319,-3.130180,-5.345372,2.634566])"
wafer_013,"tensor([-6.349451,-0.760176,1.084877,7.017029,2.449227,3.048091,4.701973,12.324376,-12.705024,-6.396599,-3.580768,7.339141,-13.952123,-6.952798,2.425091,3.065051,-0.240270,1.870209,-0.882166,6.218479,-0.593989,1.539299,0.579378,-0.817127,4.709513,-5.389049,-0.072649,10.786925,-6.773822,6.281828,1.119534,-1.313729,-6.809535,-9.529793,-7.664333,5.868238,7.752546,-7.071105,-13.921975,3.641237,5.475010,0.200775,-4.017922,-4.939301,-2.119275,-4.144360,-10.567753,5.699880])"
wafer_014,"tensor([7.882604,0.217004,-6.368239,1.466175,6.913240,-2.081709,-0.942497,-12.369014,16.833162,8.106217,-3.658569,-1.098724,4.791025,3.941295,-1.323394,1.072591,2.713250,-3.932667,-0.034924,-1.513232,1.467619,9.226653,-4.586529,-5.891541,3.096761,-2.540364,-10.124315,1.714497,2.904983,-6.579303,-2.782171,-6.679340,0.551255,7.659757,7.997925,-3.319709,-4.597421,1.648202,0.868475,3.970252,1.255303,0.627354,9.310409,2.885132,8.614695,-2.446467,-2.405711,-5.426848])"
wafer_015,"tensor([-12.665922,-7.074083,-0.073828,3.494535,0.017797,-4.685713,-12.726531,4.443977,-3.810563,-9.602581,-5.342285,-1.954409,-11.110705,1.735120,3.017273,-11.077308,3.673359,-6.144938,-9.282311,0.593966,2.983658,-1.678464,4.563199,-3.164686,9.241089,5.270873,-0.806411,-1.622770,-5.404818,8.211737,-0.901190,-11.251172,-9.476516,-3.797921,-3.868064,6.863445,3.299695,-6.352240,-7.911005,-4.710629,1.217421,-1.753054,0.711794,-9.040161,0.403004,5.463648,3.675292,6.743764])"
wafer_016,"tensor([10.400230,9.652176,0.145022,-7.040298,-5.038799,0.275538,3.963529,-3.163772,4.634520,5.844376,3.544032,-4.950616,10.328443,0.793208,0.291973,-0.899773,-1.216624,4.013522,3.056097,-1.752141,3.355024,-4.502669,0.184859,-1.675496,-4.510458,5.901209,9.481520,-11.162335,2.267245,0.870008,2.087792,10.658314,8.884038,3.949582,7.158452,0.406754,-12.330635,2.325610,7.889822,-3.751642,-1.410181,-1.859807,-0.772206,2.996607,-1.623910,4.830366,7.297192,3.751085])"
wafer_017,"tensor([-10.774235,-9.646365,-2.224117,5.557730,1.622175,-4.822873,-12.914843,3.613391,-5.629363,-8.170944,-6.265047,1.366541,-14.656722,0.975316,2.512839,-9.034738,2.828057,-6.420217,-11.250772,1.128477,-1.299222,2.522832,4.708070,-4.656669,9.758635,6.794889,-2.226734,-1.604245,-4.256022,9.032012,1.100716,-11.127585,-7.621185,-2.804778,-6.766698,4.431955,-0.076901,-5.183616,-8.351281,-4.343233,1.113339,-1.618254,-0.172168,-9.102336,2.098784,1.498470,6.097349,2.312686])"
wafer_018,"tensor([8.216952,7.094909,2.114395,-6.823065,-4.951525,-0.021019,1.991632,-7.217689,5.301074,3.992878,2.380155,-4.307508,8.620400,1.802994,-0.377977,-0.910619,-1.946853,1.696740,1.974909,-0.233117,0.479024,-1.840749,-2.100517,-1.351278,-4.204886,6.538579,6.620350,-7.860175,1.856181,-1.638204,2.465331,8.194456,8.322978,5.580531,4.059677,0.363694,-10.253212,1.442323,6.583793,-6.211790,-3.548152,0.714841,-0.697484,1.080159,-0.620963,3.783338,8.172289,3.592265])"
wafer_019,"tensor([-8.257866,-1.737664,1.427588,7.170470,2.416187,2.435879,0.555388,6.437091,-6.269090,-7.573291,-6.060833,4.871522,-14.784652,-6.055241,1.855367,2.184850,-0.370593,0.401226,-3.414882,6.723697,-1.128920,5.867950,-1.637258,-1.692190,7.987038,-4.644539,-3.201581,9.733574,-7.503723,4.663194,1.949744,-6.479031,-9.108726,-9.037483,-9.889059,3.800166,6.782024,-6.010369,-14.415282,0.807562,4.832392,1.145536,-1.578538,-9.448320,3.047230,-2.633217,-5.822593,3.449425])"
wafer_020,"tensor([8.729868,0.087791,-5.956175,5.840786,7.970293,-1.791850,2.857555,-9.158929,17.130915,8.663884,-6.189086,2.206783,2.380204,2.430344,-5.951132,0.951730,-0.559007,-6.519547,-4.227463,0.865034,0.574427,9.339934,-6.278071,-5.778648,7.082077,-2.481655,-11.952249,-4.066834,2.991014,-1.755978,1.995807,-4.957152,5.457321,8.678593,7.007486,-1.832456,-12.106447,6.152803,5.642153,2.656131,-2.432691,2.367848,9.875579,5.141159,8.385021,-6.848151,1.260197,-9.181826])"
wafer_021,"tensor([10.254285,10.787586,1.044616,-6.007270,-5.106566,1.308759,7.790237,-0.516808,3.835530,5.304000,2.563528,-3.002630,10.163728,0.871611,-2.603948,-2.642637,-3.434066,1.906830,1.805495,0.077506,4.346775,-7.711009,-1.664573,-0.470989,-3.177529,4.306118,8.875463,-12.609125,1.835773,2.672906,3.647205,13.891823,11.022037,4.202932,7.165010,3.899146,-14.123023,3.943823,11.123964,-3.472171,-3.830985,-1.024437,-1.593211,5.580856,-4.256997,4.574279,6.027553,5.318690])"
wafer_022,"tensor([-0.504567,-1.595138,-0.675279,-1.262609,1.427783,0.070448,-8.193003,-9.920907,8.977080,0.152831,-0.960147,-6.347439,1.399359,1.257833,5.241622,4.270928,3.996880,3.977517,3.866288,-3.713627,-1.328911,9.698442,-0.451026,-1.006765,0.150552,-1.007535,-4.920546,6.394630,1.121785,-8.958078,-3.945302,-9.467104,-6.917322,-0.428674,2.362349,-9.569392,7.602260,-2.132375,-2.637415,1.742874,5.406125,-1.923628,5.467782,-7.671943,9.959678,1.653443,-0.205683,-3.588478])"
wafer_023,"tensor([-13.379260,-9.168737,-1.047294,3.729134,-0.745415,-3.050553,-11.658826,2.449327,-5.608020,-10.528335,-4.028548,-1.635195,-9.158744,3.298159,2.294618,-7.648042,3.239737,-5.123642,-7.755811,-0.491334,-1.027390,-2.387910,4.153198,-1.665133,7.347033,6.302524,-1.153390,0.152586,-4.670739,5.559411,-0.845314,-10.247362,-9.643265,-1.714629,-4.541956,3.431289,5.975059,-4.761152,-4.538584,-3.687054,-0.097845,-1.017215,0.401947,-9.233611,-0.269689,4.482436,3.353637,4.451185])"
wafer_024,"tensor([-9.182908,-4.566162,4.971832,-0.755831,-3.038520,-4.796258,-10.002222,3.434883,-8.173938,-8.106146,-1.990510,-0.226305,-8.557477,1.421276,4.310828,-9.947714,1.258516,-6.000142,-7.481236,2.682222,0.886060,-3.043430,4.629096,-1.519871,3.972936,8.834613,3.691260,-1.966911,-4.308929,8.649782,1.829923,-5.290006,-2.924258,-2.907189,-5.952877,7.320827,1.837447,-7.070758,-8.018172,-9.868857,-0.864884,0.523919,-2.284597,-7.010782,-4.139555,3.992748,6.379959,7.585573])"
wafer_025,"tensor([7.097386,-2.227757,-6.105976,6.002620,7.157920,-1.206861,1.690682,-12.372053,16.616994,7.354999,-6.462652,1.736166,2.706874,3.113750,-5.557519,2.946735,-0.320906,-5.924143,-3.370028,0.745562,-1.441372,10.741737,-6.191209,-4.818281,6.614351,-1.001567,-13.654183,-2.818437,1.724570,-4.347876,2.633419,-5.589636,3.862712,9.171947,6.333259,-3.577194,-7.815187,6.285035,6.031976,2.364628,-3.188266,3.011319,10.847472,3.327550,8.932985,-7.345436,0.446171,-9.326470])"
wafer_026,"tensor([6.815490,-1.860376,-6.896163,6.043786,6.964902,-0.964109,-0.259870,-11.058186,15.147801,7.135110,-6.858456,0.192847,0.623823,1.020750,-2.613347,3.190102,1.479867,-4.091873,-2.249614,0.592863,-0.604443,13.009945,-4.750618,-6.934345,8.180851,0.218406,-11.781003,-2.113389,1.539177,-3.665636,1.351765,-6.909265,1.017447,6.671096,8.054306,-4.328173,-6.818819,3.406532,3.015418,3.561714,0.992634,0.887030,10.364671,-0.017414,10.814686,-6.187358,-0.643396,-8.060185])"
wafer_027,"tensor([8.229772,9.572187,1.784232,-5.523789,-2.607318,0.591243,3.966654,-4.286746,7.086797,3.620640,0.531367,-3.563236,7.838080,0.997085,-0.425646,-2.954743,-1.413926,-0.411550,0.885609,1.421059,5.070853,-3.280511,-2.522845,-2.332101,-0.487656,3.682418,5.700249,-8.124351,-0.342381,0.647327,2.954498,7.847528,7.212650,3.852125,5.409690,4.776678,-11.671694,0.247737,5.243088,-4.438358,-2.205561,0.590302,1.219157,1.220549,-1.039330,4.920340,3.412842,7.253355])"
wafer_028,"tensor([-10.719242,-5.909258,3.061331,1.909869,-0.306695,-4.863067,-11.924544,5.307324,-6.701298,-7.133466,-2.596992,0.382320,-10.360331,0.115613,3.237922,-9.620814,1.672762,-5.278554,-8.227894,0.242569,1.118137,-0.288486,4.138695,-0.978681,5.644155,4.695877,0.334664,-1.027167,-2.732100,7.102434,0.782556,-8.835163,-5.524317,-5.124817,-7.242796,4.148926,3.668421,-4.754273,-8.240392,-6.037694,0.276086,-1.035082,-2.539648,-6.719422,-1.806259,2.177038,6.464058,3.744850])"
wafer_029,"tensor([0.850354,-2.077986,-0.944832,0.078025,1.624469,-0.838931,-5.823925,-9.584915,9.318981,2.084696,-1.232743,-3.978609,3.433603,1.797526,1.793882,4.061017,2.773454,0.865097,2.258673,-3.351681,-1.059298,8.985116,-0.842835,-0.561708,-0.349391,-0.516349,-6.629905,1.799036,2.380442,-7.713212,-1.910706,-7.523332,-2.626121,1.455342,2.870749,-8.622861,4.355062,1.650340,1.233979,1.120737,1.246147,-1.312710,6.073666,-3.172393,7.853903,-1.782161,1.232888,-6.577809])"
wafer_030,"tensor([7.059385,5.623437,0.520576,-2.138329,-2.237386,-0.649250,2.676116,-1.559931,2.518118,3.938786,-0.403353,-2.503384,4.755444,-0.768753,0.292965,-1.443368,-0.836756,0.126604,-0.165883,0.882562,2.605921,-1.337070,0.668188,-3.582379,0.358449,6.361114,4.841021,-11.104007,0.780508,3.710240,4.195716,6.687739,8.105897,3.909333,5.971820,2.976458,-11.260007,1.110144,4.885608,-3.202764,-1.539427,-1.353919,0.846022,1.169353,-0.817227,1.746406,5.151421,2.692378])"
wafer_031,"tensor([-6.781891,-0.069786,-0.825190,6.393079,1.850253,4.048843,7.401260,10.768017,-10.723571,-6.220264,-4.612171,7.576960,-13.660308,-5.703210,-0.721319,2.524390,-1.559004,1.277003,-0.880577,6.914517,-1.135865,0.645964,-1.500101,-0.868257,5.566945,-5.801650,-0.300611,11.774007,-7.271776,6.201400,0.840693,-0.168198,-6.855297,-7.909868,-7.794015,7.698084,5.159707,-6.147165,-13.857742,4.090739,5.131216,1.170892,-4.658858,-3.956380,-2.085363,-1.970232,-9.263252,6.926984])"
wafer_032,"tensor([8.902054,9.334324,1.723239,-5.380812,-4.610173,-0.329598,3.214453,-1.431703,0.867520,2.967112,1.783197,-3.785532,6.742720,-0.651392,1.186854,-2.292880,-1.322676,3.577781,1.597915,0.142264,3.052633,-4.321281,1.409273,-3.388181,-2.476325,8.002922,10.960780,-11.585536,0.914637,4.373242,3.792432,11.301042,8.244462,2.838240,5.834645,2.852603,-13.069823,-0.123508,5.153167,-5.233411,-0.317143,-1.942495,-1.867095,1.260054,-2.418578,4.880415,7.018272,6.095515])"
wafer_033,"tensor([-7.558051,0.036413,0.542289,5.675789,2.862247,2.190599,1.394981,10.240286,-8.472198,-5.618917,-3.729569,5.887606,-15.366658,-6.215493,2.801953,1.566587,-0.431624,1.160470,-1.831711,5.202306,-0.196667,3.697292,-0.291837,-1.390153,5.133221,-6.452993,-1.631685,11.147682,-5.689868,4.955000,-0.766383,-4.098440,-8.240096,-10.139580,-9.140439,3.853952,6.607107,-6.664240,-15.805077,3.315462,6.660394,-0.305357,-4.217615,-6.241393,1.351186,-2.562185,-6.275972,4.082487])"
wafer_034,"tensor([6.085167,-0.882491,-6.748208,6.004342,9.581250,-2.749977,-2.284909,-13.996326,24.840031,8.081413,-7.605931,-0.224547,1.701054,4.325229,-6.205864,-0.527308,-0.877336,-7.927453,-5.733458,-0.375473,0.516093,13.220030,-9.004251,-4.774917,9.899644,-4.854031,-16.626390,-2.426337,2.691563,-5.637949,1.045502,-11.077713,1.284856,8.702084,4.600073,-4.882663,-10.738547,7.415125,5.244780,0.585586,-3.303497,2.406117,12.819555,3.180615,12.886649,-5.573771,4.476321,-11.628263])"
wafer_035,"tensor([6.788736,-0.418571,-3.462467,6.323277,8.954292,-3.279777,-1.161052,-7.435389,15.609956,8.865446,-4.366735,1.461188,1.319318,0.274181,-2.594327,1.222225,0.112598,-5.368429,-3.162020,-1.479058,2.176711,11.871701,-3.441670,-2.276646,5.072090,-4.736839,-12.762289,-2.737846,4.469648,-2.918080,0.862382,-8.327030,3.490946,4.051884,4.883499,-6.126014,-5.728797,5.268712,3.380971,1.840372,-1.683911,1.052421,10.371818,5.095934,9.636553,-8.222767,0.513843,-11.439138])"
wafer_036,"tensor([-2.568858,-2.737464,-2.981888,3.142917,2.445791,1.227343,-5.604065,-4.569231,7.060798,-0.553383,-3.126903,-5.690251,1.655511,-0.543214,3.226848,6.466736,3.747661,3.992904,3.336125,-3.890731,-0.648452,9.495585,1.261552,0.621855,2.811700,-2.684268,-7.295760,1.960179,0.664709,-6.316555,-2.150266,-8.220565,-7.294493,-0.919001,3.858837,-10.817761,8.084024,2.428366,2.176723,5.765489,4.410963,-4.281520,7.014811,-5.736405,10.117236,-1.165362,-3.077944,-7.491600])"
wafer_037,"tensor([-10.543047,-8.354865,1.875722,3.239467,-0.040438,-5.498595,-12.223103,1.523254,-6.746375,-8.939338,-4.808981,0.170027,-11.549421,1.914779,4.701628,-10.248071,3.632388,-7.377041,-8.987946,1.865057,0.392238,0.387932,4.230297,-4.313486,7.800169,8.363613,0.610953,-0.500222,-4.533905,8.994749,0.948790,-10.217597,-7.237886,-2.297963,-4.140707,6.727193,2.584820,-8.072251,-9.499509,-6.509909,0.054043,-0.165777,0.210752,-9.301226,-0.993902,3.435247,3.479150,6.952273])"
wafer_038,"tensor([-8.073495,0.157563,0.913753,6.662591,2.297085,3.125801,3.691678,9.311789,-8.195190,-7.214675,-5.644546,6.296205,-15.384929,-6.556091,0.985245,1.821597,-2.547584,0.146792,-3.689748,7.089876,-0.995767,3.775646,-2.661415,-0.614442,7.440253,-6.164358,-2.633096,10.811927,-8.256209,4.926265,2.381209,-3.679143,-7.776693,-9.361082,-10.643063,6.285454,5.829245,-6.047640,-14.576369,0.333233,4.284501,1.591076,-3.726640,-7.751114,0.906133,-2.521600,-5.789447,5.437551])"
wafer_039,"tensor([9.682166,8.837321,1.263987,-7.637211,-7.773111,1.525552,2.057178,-6.359434,3.452641,3.689622,2.413101,-8.051938,11.469492,1.283800,2.221095,0.552172,-0.692292,6.001719,3.720348,-1.565663,1.856276,-4.408621,1.437544,-3.155744,-4.592454,11.446103,11.017986,-13.196229,1.636355,1.334488,3.814884,12.554255,8.573379,4.660187,9.922594,0.657659,-12.380688,1.045690,9.463247,-5.105964,-0.473380,-2.704145,-0.113485,-1.796136,-0.152673,7.339023,8.240591,6.674749])"
wafer_040,"tensor([8.569973,10.237215,3.082367,-5.744241,-4.134212,-0.020113,4.656785,1.459256,1.918350,4.103176,2.774631,-3.230030,8.745626,-1.243208,0.489534,-3.692939,-2.309976,1.803042,1.985500,0.069883,6.354766,-6.767123,1.117015,-0.313669,-3.589275,4.464684,9.385810,-13.125334,2.020752,4.633952,3.590712,11.517611,10.301987,1.801471,6.647840,3.550828,-12.535059,2.173531,7.487219,-4.584088,-2.535803,-2.496923,-1.568006,5.025307,-4.952102,3.954539,6.495442,4.727847])"
wafer_041,"tensor([-0.087887,1.341152,-0.053661,0.546540,1.406346,1.437897,-3.879396,-5.172447,5.513010,1.094768,-0.909135,-4.971663,2.284509,-1.972172,4.724347,7.082799,2.287415,6.102310,4.944369,-2.640380,-0.550854,8.866274,-0.023178,0.155496,0.298635,-2.178133,-3.239636,3.448155,1.118771,-6.250969,-1.680645,-5.507966,-5.373978,-3.097448,2.727055,-9.785330,6.252970,-0.183774,-0.731332,3.791079,6.371976,-3.706394,4.927794,-5.584479,9.225185,-0.578659,-1.757050,-4.670909])"
wafer_042,"tensor([6.018101,-1.876326,-7.432610,5.087594,7.925296,-2.387928,-1.876866,-11.059327,19.254496,7.244622,-4.510411,-0.280495,2.852530,4.793817,-4.438847,-0.619559,1.145621,-6.713227,-4.185791,-2.090840,1.631788,9.381199,-5.725907,-4.439908,6.946034,-4.373630,-14.005396,-1.138810,3.678758,-5.226138,-0.607247,-8.505050,1.118544,8.687765,7.477397,-4.506550,-7.043718,5.934698,5.490313,3.379101,-1.937899,1.336378,11.797573,4.296006,9.727750,-4.644681,0.287275,-9.613494])"
wafer_043,"tensor([6.964047,7.942395,-0.471776,-5.665737,-6.523644,1.212036,2.727798,-2.997541,2.566866,2.789694,1.933451,-6.391096,8.550433,1.120781,0.644149,-1.844145,-1.239998,4.371297,1.112873,-0.917610,1.171669,-5.453900,1.249820,-3.070266,-2.262434,9.117158,10.198148,-12.396099,0.919571,2.409189,3.079695,11.315782,6.079197,4.642014,6.338622,2.037407,-12.285536,1.573154,8.785353,-4.160333,-0.707305,-3.267393,-1.979039,-0.496746,-1.417817,7.161502,8.630127,5.655596])"
wafer_044,"tensor([12.537271,11.054087,1.303445,-7.990605,-5.339962,1.330502,4.791702,-5.661020,6.446603,6.380056,3.646271,-6.064016,12.281209,1.142359,1.011476,0.862396,-1.744219,5.227306,4.271701,-0.839555,2.556171,-2.445370,-1.433265,-2.278447,-5.107000,6.414960,8.962895,-10.257629,3.120274,-0.776650,2.778096,12.256179,10.292026,4.703783,7.704937,0.465366,-12.839185,1.875574,8.436631,-4.490509,-0.998642,-1.406688,0.100194,2.535672,-0.692303,4.593156,7.702785,4.001912])"
wafer_045,"tensor([-1.801374,-1.671562,-0.766695,1.438925,1.580329,-0.301316,-7.883716,-8.693551,9.206882,0.009977,-2.578398,-6.899138,3.108545,-0.582516,4.368768,6.864922,2.844153,4.084912,3.274397,-3.993425,-1.295737,11.320524,-0.015055,0.617687,1.727722,-0.872901,-6.926216,1.242888,1.879210,-8.681812,-0.879121,-10.195061,-5.881170,-1.103537,3.539698,-12.051859,6.688120,1.606166,1.712566,2.083643,3.634899,-3.371126,8.167618,-7.421932,12.163438,-1.426275,0.549793,-8.150792])"
wafer_046,"tensor([-3.228153,-3.950694,-0.763998,2.024972,0.599396,-0.418858,-5.359157,-4.102211,2.044367,-1.999424,-2.721998,-3.463682,-0.231800,0.138062,3.540575,4.137066,3.276806,2.076837,1.733883,-2.277610,-2.021278,6.235241,2.403535,-0.421476,1.617852,1.771679,-4.184736,2.745772,-0.190308,-2.740780,-0.559782,-7.106493,-5.162427,-0.967229,2.451229,-5.922840,6.852918,-0.759876,-0.855169,3.095702,3.747473,-1.853439,4.326555,-6.153768,5.662867,-1.159618,-2.464520,-3.336251])"
wafer_047,"tensor([-7.495978,-2.004812,0.163187,5.296680,1.187441,2.609339,2.528630,8.125661,-9.708865,-7.335644,-3.920905,5.891630,-13.679144,-4.570098,0.652157,2.465512,-1.612040,0.639774,-2.768287,5.879450,-2.631493,1.462712,-0.417641,-1.318675,6.605060,-2.240303,0.053528,8.835734,-6.416675,5.290853,1.625420,-2.776787,-6.761440,-7.041454,-9.485203,5.963023,4.979993,-5.883259,-11.988275,1.458035,3.674721,1.418936,-4.161506,-6.540712,-0.419370,-1.495269,-5.008474,5.442591])"
wafer_048,"tensor([-9.735303,-2.661076,-0.178016,5.064914,0.302199,2.828737,0.944712,8.181686,-9.507367,-9.060986,-5.073396,3.465658,-14.681369,-3.992293,1.858877,1.174401,0.026380,1.241274,-2.704238,5.219351,-1.938746,1.744147,0.458578,-2.113909,7.046216,-1.654426,-0.288343,10.626786,-8.306405,5.915781,0.355898,-4.342538,-10.278784,-7.988846,-8.558430,5.956722,6.943273,-8.012427,-13.406271,1.141426,5.408744,0.214088,-3.668530,-9.601739,0.955279,1.237254,-5.349660,7.254521])"
wafer_049,"tensor([-6.279845,-2.139518,-1.719227,8.220072,3.640075,3.853553,4.016811,8.971206,-8.914252,-6.075502,-5.704934,6.052309,-15.671524,-7.283073,1.986346,5.940628,0.054541,2.781344,-0.503646,6.364722,-2.652598,6.260155,-0.586329,-2.959344,7.338014,-5.321002,-2.806731,12.156258,-7.662170,4.309259,0.964691,-4.580423,-9.912722,-8.640307,-7.208616,3.699662,7.889988,-7.122767,-14.734150,5.792781,8.232999,0.013966,-1.243449,-8.214341,2.984605,-4.355205,-9.969913,3.509329])"
wafer_050,"tensor([10.423880,9.010035,0.603309,-7.091483,-6.348283,1.166266,2.585378,-7.553005,4.996982,4.768511,1.218240,-7.220775,9.563240,1.845486,2.510421,0.303830,-0.160725,5.385942,3.587951,-0.403880,1.859269,-1.275230,0.309529,-4.714086,-2.730959,10.654008,9.882136,-11.117304,1.563139,0.065598,2.452500,10.719754,7.335146,4.720317,8.479507,0.810606,-12.836266,0.264685,7.124859,-4.290178,0.301173,-2.835877,0.042176,-1.370674,0.416121,6.405543,7.469310,5.834957])"
